Full_En,Last_name ,Last_name_En ,First_name,First_name_En,Father_name,Company_name ,CompamyID_number,Country_Ukr,Coutry_En
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПІСКІВСЬКИЙ ЗАВОД СКЛОВИРОБІВ""",33894121,Україна,Ukraine
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,Roshen Europe B.V.,62106430,Нідерланди,Netherlands
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"Товариство з обмеженою відповідальністю ""Grand Кондитер""",170340019202,Казахстан,Kazakhstan
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"Ліпецька кондитерська фабрика ""Рошен""",4824006696,Росія,Russia
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Харчові продукти ""Рошен"" (Шанхай)""",,КНР,China
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Рошен-Польська""",KRS0000023285,Польща,Poland
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"""РошенТранс""",4824045159,Росія,Russia
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"ТОВ ""Ферувіта С.Л.""",B92830629,Іспанія,Spain
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"ТОВ ""Ерай-Систем Лімітед""",HE161938,Кіпр,Cyprus
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,Prime Asset Partners Limited,,Британські Віргінські острови,British Virgin Islands
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Bonbonetti""",01-09-730072,Угорщина,Hungary
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"Uzdaroji akcine bendrove ""ROSHEN""",140516933,Литва,Lithuania
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,Центріс Лімітед,70373,Гібралтар,Gibraltar
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Choco Bonita""",01-09-205282,Угорщина,Hungary
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Кондитерська фабрика ""Bonbonetti Choco""",01-09-269570,Угорщина,Hungary
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"Товариство з обмеженою відповідальністю ""Рошен-Бел""",690667393,Білорусь,Belarus
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,CEE Confectionery Investments Limited,HE335812,Кіпр,Cyprus
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"Limited Liability Company ""Roshen Georgia""",400223904,Грузія,Georgia
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОШЕН""",4824033114,Росія,Russia
Boyko Yuri,Бойко,Boyko,Юрій,Yuri,Анатолійович,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ТОВАРИСТВО МИСЛИВЦІВ ТА РИБАЛОК ""КЕДР""",36076341,Україна,Ukraine
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВДІАЛЬНІСТЮ ""ОРІОН СОЛАР""",9102065483,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КЛАРІОН СОЛАР""",9102067850,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГАММА СОЛАР""",9102064264,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Hyperion Netherlands B.V.,,Нідерланди,Netherlands
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БЕТА СОЛАР""",9102159036,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЛЬФА СОЛАР""",9102163138,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОМАО СОЛАР""",9102160874,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 5""",9102068251,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Krasolena Investment Ltd,HE263783,Кіпр,Cyprus
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 2""",9102162102,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,MIlideno Holdings Ltd.,HE310105,Кіпр,Cyprus
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,KOLTRESO COMMERCIAL LTD,ΗΕ315417,Кіпр,Cyprus
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АКТИВ ДЕВЕЛОПМЕНТ УКРАЇНА""",34979111,Україна,Ukraine
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 1""",9102158473,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОДЮСЕРСЬКИЙ ЦЕНТР ""СТАР ВЕЙ""",39043675,Україна,Ukraine
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,CEE Clean Economic Energy AG,,Австрія,Austria
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Helios Netherlands B.V.,57607354,Нідерланди,Netherlands
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Black Sea Renewable Energies GmbH,FN361858w,Австрія,Austria
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЗЕТА СОЛАР""",9102064730,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Gunaldi Commercial Ltd,HE292598,Кіпр,Cyprus
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕЛЬТА СОЛАР""",9102067787,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МАШЗАВОД"" М.НОВОГРОДІВКА",14310336,Україна,Ukraine
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Activ Solar GmbH,ATU6419461,Австрія,Austria
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ГРОМАДЯНСЬКИЙ РУХ ""РАЗОМ""",39647780,Україна,Ukraine
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,P & A Corporate Services Trust,,Ліхтенштейн,Liechtenstein
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КАПЕЛЛА СОЛАР""",9102163321,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"SLAV HANDEL,VERTRETUNG UND BETEILIGUNG AKTIENGESELLSCHAFT",FN129821P,Австрія,Austria
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОУЗІЛ СОЛАР""",9102163882,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "" МАШИНОБУДІВНИЙ ЗАВОД ""ВІСТЕК""",31226457,Україна,Ukraine
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКТИВ-СТРАХУВАННЯ""",31446152,Україна,Ukraine
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 4""",9102160095,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 3""",9102160105,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ОУЛ СОЛАР""",9102067522,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Kvalisto Holdings Ltd,HE301963,Кіпр,Cyprus
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОСПРІЙ СОЛАР""",9102160070,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Aurnia Commercial Ltd,ΗΕ291411,Кіпр,Cyprus
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "" ЗАВОД ПО ОБРОБЦІ КОЛЬОРОВИХ МЕТАЛІВ""",195452,Україна,Ukraine
Klyuyev Serhiy,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЮПІТЕР СОЛАР""",9102065606,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Lutsenko Yuri,Луценко,Lutsenko,Юрій,Yuri,Віталійович,Рівненський завод «Газотрон»,14314972,Україна,Ukraine
Lutsenko Yuri,Луценко,Lutsenko,Юрій,Yuri,Віталійович,"Газета ""Грані Плюс""",,Україна,Ukraine
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТОРГОВО-ІНВЕСТИЦІЙНЕ АГЕНТСТВО ""КОНСОЛЬІНВЕСТ""",37002773,Україна,Ukraine
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КСД""",25387595,Україна,Ukraine
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,INLORD SALES LLP,OC351548,Велика Британія,United Kingdom
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""УКРАЇНСЬКИЙ ЦЕНТР ЕКОНОМІЧНИХ І ПОЛІТИЧНИХ ДОСЛІДЖЕНЬ ІМЕНІ ОЛЕКСАНДРА РАЗУМКОВА""",20063407,Україна,Ukraine
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БРИНКФОРД""",36336608,Україна,Ukraine
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,KENSON TRADING LTD,"66,313",Беліз,Belize
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,METAJET AVIATION SERVICES LTD,,Велика Британія,United Kingdom
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"""STEUERMANN"" Investitions- und Handelsgesellschaft mbH",FN189399d,Австрія,Austria
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,Bradcrest Investments SA,,Панама,Panama
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,RANDSTONE COMMERCIAL LLP,OC329413,Велика Британія,United Kingdom
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ЗАКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ІНТЕРПОРТ-КОВЕЛЬ""",20133507,Україна,Ukraine
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,MONTGOMERY IMPEX LTD,2133041,Нова Зеландія,New Zealand
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,Macross Investment Ltd,"52,644",Беліз,Belize
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,SKODA JS a.s.,25235753,Чехія,Czech Republic
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,VISILOGIK LIMITED,,Домініка,Dominica
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,FORTER HOLDINGS LTD,ΗΕ239001,Кіпр,Cyprus
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,MONEA SYSTEM LLP,OC325867,Велика Британія,United Kingdom
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,guilford estates ltd,,Беліз,Belize
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЮНІСТІЛ""",35601339,Україна,Ukraine
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,BARTON BUSINESS LLC,,Домініка,Dominica
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,DALLAS FUEL SA,743716-2023126,Панама,Panama
Martynenko Mykola,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕНЕРГОТЕХПРОМ""",32309445,Україна,Ukraine
Taruta Serhiy,Тарута,Taruta,Сергій,Serhiy,Олексійович,ІГХ Індустріал Груп Холдінг Лімітед,HE153231,Кіпр,Cyprus
Taruta Serhiy,Тарута,Taruta,Сергій,Serhiy,Олексійович,Даргамо Холдінгс Лімітед,HE233395,Кіпр,Cyprus
Taruta Serhiy,Тарута,Taruta,Сергій,Serhiy,Олексійович,Гданськ Шіпярд Груп Сп. з о.о.,KRS0000303194,Польща,Poland
Taruta Serhiy,Тарута,Taruta,Сергій,Serhiy,Олексійович,Енард Інвестментс Лімітед,1561403,Британські Віргінські острови,British Virgin Islands
Taruta Serhiy,Тарута,Taruta,Сергій,Serhiy,Олексійович,Ерроукрест Лімітед,HE183297,Кіпр,Cyprus
Taruta Serhiy,Тарута,Taruta,Сергій,Serhiy,Олексійович,Керкаріно Холдінгз Лімітед,HE268708,Кіпр,Cyprus
Taruta Serhiy,Тарута,Taruta,Сергій,Serhiy,Олексійович,Парборіо Холдінгз Лімітед,HE260901,Кіпр,Cyprus
Taruta Serhiy,Тарута,Taruta,Сергій,Serhiy,Олексійович,Франкіро Холдінгз Лімітед,HE260911,Кіпр,Cyprus
Taruta Serhiy,Тарута,Taruta,Сергій,Serhiy,Олексійович,І.С.Х.Ц. Індустріал Стіл Холдинг Ко Лімітед,HE153723,Кіпр,Cyprus
Tymoshenko Yulia,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Aveiro LP,NL000142,Велика Британія,United Kingdom
Tymoshenko Yulia,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Vital Investment Group Inc,P18000014595,США,USA
Tymoshenko Yulia,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Wiley Rein LLP,6108,США,USA
Tymoshenko Yulia,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Drake Limited,SC145341,Велика Британія,United Kingdom
Tymoshenko Yulia,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,"TWO PATHS, LLC",6315697,США,USA
Tymoshenko Yulia,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Smart Light Advising LP,SL033149,Велика Британія,United Kingdom
Tymoshenko Yulia,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Amarante Trading Limited,,Британські Віргінські острови,British Virgin Islands
Tymoshenko Yulia,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,TRIDENT FOUNDATION,8938183,Велика Британія,United Kingdom
Tymoshenko Yulia,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Carvella Limited,9078119,Велика Британія,United Kingdom
Tymoshenko Yulia,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,"INNOVATIVE TECHNOLOGY BUSINESS CONSULTING, LLC",,США,USA
Chekita Gennady,Чекіта,Chekita,Геннадій,Gennady,Леонідович,ПАНКОМ КОНГО,47847,Конго,Congo
Schwerk Gregory,Шверк,Schwerk,Григорій,Gregory,Аронович,ПАРАКРОФТ ЛТД,1770723,Британські Віргінські острови,British Virgin Islands
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕЛЬТА СОЛАР""",9102067787,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЛЬФА СОЛАР""",9102163138,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "" МАШИНОБУДІВНИЙ ЗАВОД ""ВІСТЕК""",31226457,Україна,Ukraine
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,Helios Netherlands B.V.,57607354,Нідерланди,Netherlands
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 2""",9102162102,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,MIlideno Holdings Ltd.,HE310105,Кіпр,Cyprus
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОУЗІЛ СОЛАР""",9102163882,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,Activ Solar GmbH,ATU6419461,Австрія,Austria
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОМАО СОЛАР""",9102160874,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВДІАЛЬНІСТЮ ""ОРІОН СОЛАР""",9102065483,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КАПЕЛЛА СОЛАР""",9102163321,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МАШЗАВОД"" М.НОВОГРОДІВКА",14310336,Україна,Ukraine
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КЛАРІОН СОЛАР""",9102067850,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 5""",9102068251,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,KOLTRESO COMMERCIAL LTD,ΗΕ315417,Кіпр,Cyprus
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЗЕТА СОЛАР""",9102064730,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕЛЬТА СОЛАР""",9102067787,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,Gunaldi Commercial Ltd,HE292598,Кіпр,Cyprus
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,P & A Corporate Services Trust,,Ліхтенштейн,Liechtenstein
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГАММА СОЛАР""",9102064264,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 1""",9102158473,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"SLAV HANDEL,VERTRETUNG UND BETEILIGUNG AKTIENGESELLSCHAFT",FN129821P,Австрія,Austria
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БЕТА СОЛАР""",9102159036,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine)
Klyuyev Andriy,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АКТИВ ДЕВЕЛОПМЕНТ УКРАЇНА""",34979111,Україна,Ukraine
