,Unnamed: 0,guid,first,last,mid,total_income,income,total_area,estate,cars,debt,assets,internal_id
0,0,nacp_8549423a-e1f3-4b8c-8723-e8e8614fa38e,Віктор,Онуфрієв,Миколайович,135238,"[{'size': '135238', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,7828.0
1,1,nacp_0d5547d6-14c4-43e1-b51d-bfd36b6b1685,Костянтин,Картошкін,Едуардович,502367,"[{'size': '502367', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,27940.0
2,2,nacp_85e0adb8-29a0-446c-804a-be218c5e743b,Олександр,Панченко,Сергійович,246375,"[{'size': 61949.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 1716.0, 'sizeIncome_hidden': 0, 'type': 'insurance', 'is_foreign': 0}, {'size': 219.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 92096.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 8064.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 15411.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 18920.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 48000.0, 'sizeIncome_hidden': 0, 'type': 'salemovable', 'is_foreign': 0}]",308,"[{'area': 55.2, 'date': '29.01.1998', 'cost': '10', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 57.8, 'date': '01.02.2019', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 57.8, 'date': '06.10.2016', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 57.8, 'date': '21.03.2019', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 82.0, 'date': '16.02.2018', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}]","[{'brand': 'Peugeot', 'cost': 48000.0, 'date': '20.04.2019', 'year': 2012.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}]",0,0,9636.0
3,3,nacp_865e0c33-c01b-4fd1-b30d-3a2b745c55f0,Євген,Петров,Вікторович,174179,"[{'size': '174179', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,42455.0
4,4,nacp_8686aec4-0670-4d62-84bd-566d7eaa4559,Володимир,Пахіль,Олександрович,168158,"[{'size': '20308', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}, {'size': '147850', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,6383.0
5,5,nacp_863fbe6b-77f9-466b-a8fd-a0a0de355795,Геннадій,Салай,Анатолійович,320497,"[{'size': '320497', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,8301.0
6,6,nacp_86624a25-013a-436a-b958-e9ab71eb50ca,Василь,Глущенко,Іванович,500000,"[{'size': '500000', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,27156.0
7,7,nacp_86976cf7-a88f-4745-b997-2f309ad67e5d,Світлана,Копняк,Миколаївна,2249032,"[{'size': 556866.0, 'sizeIncome_hidden': 0, 'type': 'pension', 'is_foreign': 0}, {'size': 1684090.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 8076.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}]",1015,"[{'area': 53.8, 'date': '18.10.1996', 'cost': '1083', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'house', 'area_hidden': False}, {'area': 60.5, 'date': '09.09.2013', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 102.0, 'date': '27.07.2004', 'cost': '468000', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 800.0, 'date': '04.10.2019', 'cost': '192000', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}]","[{'brand': 'Mitsubishi', 'cost': 165000.0, 'date': '04.07.2006', 'year': 2006.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}, {'brand': 'Jeep', 'cost': 731976.0, 'date': '13.01.2016', 'year': 2013.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}, {'brand': 'Subaru', 'cost': 0, 'date': '17.04.2007', 'year': 2003.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'car'}]","[{'size': 196000.0, 'dnt_is_foreign': False, 'dnt_sizeObligation_hidden': False, 'type': 'other'}]","[{'assetsCurrency': 'UAH', 'size': 500000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 320000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}]",8856.0
8,8,nacp_86a91350-bebe-4cec-890f-0ef886764e80,Сергій,Міщенко,Григорович,6607757,"[{'size': 392930.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 3044.0, 'sizeIncome_hidden': 0, 'type': 'interest', 'is_foreign': 0}, {'size': 902.0, 'sizeIncome_hidden': 0, 'type': 'interest', 'is_foreign': 0}, {'size': 4455.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 1851944.0, 'sizeIncome_hidden': 0, 'type': 'saleestate', 'is_foreign': 0}, {'size': 1840788.0, 'sizeIncome_hidden': 0, 'type': 'saleestate', 'is_foreign': 0}, {'size': 2468045.0, 'sizeIncome_hidden': 0, 'type': 'saleestate', 'is_foreign': 0}, {'size': 45309.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 340.0, 'sizeIncome_hidden': 0, 'type': 'indepprof', 'is_foreign': 0}]",3482,"[{'area': 81.4, 'date': '20.02.2002', 'cost': '61716', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 106.2, 'date': '12.07.2014', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'house', 'area_hidden': False}, {'area': 214.3, 'date': '01.10.2010', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'house', 'area_hidden': False}, {'area': 855.0, 'date': '02.07.2013', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 779.0, 'date': '26.06.2013', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 1003.0, 'date': '09.10.2003', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 81.4, 'date': '20.02.2002', 'cost': '61716', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 81.4, 'date': '20.02.2002', 'cost': '61716', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 81.4, 'date': '20.02.2002', 'cost': '61716', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 81.4, 'date': '20.02.2002', 'cost': '61716', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 120.7, 'date': '01.03.2019', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'office', 'area_hidden': False}]","[{'brand': '', 'cost': 95013.0, 'date': '30.06.2006', 'year': 2006.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'water_transport'}, {'brand': 'VOLKSWAGEN', 'cost': 0, 'date': '23.05.2014', 'year': 2014.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'truck'}, {'brand': 'SUZUKI', 'cost': 0, 'date': '13.06.2006', 'year': 2006.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'car'}, {'brand': 'BRP', 'cost': 0, 'date': '30.05.2007', 'year': 2007.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'water_transport'}, {'brand': 'ПГМФ', 'cost': 0, 'date': '21.05.2007', 'year': 2007.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'other'}, {'brand': 'ПГМФ', 'cost': 0, 'date': '10.10.2006', 'year': 2006.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'other'}, {'brand': 'ПГМФ', 'cost': 0, 'date': '18.06.2007', 'year': 2007.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'other'}]",0,"[{'assetsCurrency': 'EUR', 'size': 538.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'USD', 'size': 75.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 14112.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'EUR', 'size': 28.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'USD', 'size': 134.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 94.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 6460777.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 250340.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'USD', 'size': 343000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'USD', 'size': 331000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 4230.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 167.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 634.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 3.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 4.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'EUR', 'size': 5.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}]",5024.0
9,9,nacp_874f7e3f-47f0-4c48-a9b7-399a6f971836,Роман,Краснюк,Петрович,371459,"[{'size': 199911.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 9176.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 9441.0, 'sizeIncome_hidden': 0, 'type': 'leasing', 'is_foreign': 0}, {'size': 4491.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 96943.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 20798.0, 'sizeIncome_hidden': 0, 'type': 'pension', 'is_foreign': 0}, {'size': 2565.0, 'sizeIncome_hidden': 0, 'type': 'leasing', 'is_foreign': 0}, {'size': 4657.0, 'sizeIncome_hidden': 0, 'type': 'interest', 'is_foreign': 0}, {'size': 85.0, 'sizeIncome_hidden': 0, 'type': 'interest', 'is_foreign': 0}, {'size': 23392.0, 'sizeIncome_hidden': 0, 'type': 'pension', 'is_foreign': 0}]",34632,"[{'area': 11011.0, 'date': '04.09.2015', 'cost': '26745', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 49.1, 'date': '10.05.2006', 'cost': '25914', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 85.4, 'date': '02.12.2004', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'house', 'area_hidden': False}, {'area': 935.0, 'date': '21.11.2016', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 805.0, 'date': '14.09.2012', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 3242.0, 'date': '31.12.2017', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 7448.0, 'date': '31.12.2017', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 11012.0, 'date': '04.09.2015', 'cost': '26745', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 45.4, 'date': '22.07.2010', 'cost': '22873', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}]",0,0,0,44418.0
10,10,nacp_0d88f439-cdf1-4017-947c-9abad0765675,Юрій,Волошин,Володимирович,49049,"[{'size': 49049.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}]",0,0,"[{'brand': 'Фольсваген', 'cost': 50000.0, 'date': '08.08.2009', 'year': 2001.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}]",0,0,27935.0
11,11,nacp_875f0889-eb8a-4b0a-a386-d5b10fe0873a,Наталія,Коваленко,Володимирівна,269466,"[{'size': 245466.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 24000.0, 'sizeIncome_hidden': 0, 'type': 'pension', 'is_foreign': 0}]",57,"[{'area': 57.0, 'date': '13.06.2007', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}]",0,0,0,21037.0
12,12,nacp_87721bd3-dadc-4e40-80bb-2dae3682d43b,Сергій,Стороженко,Олександрович,228207,"[{'size': '228207', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,7924.0
13,13,nacp_857fb56d-77bd-4c41-98b9-e4075d7bbb43,Андрій,Камуз,Олександрович,101977,"[{'size': '101977', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,33149.0
14,14,nacp_852b000c-7024-43db-9682-9a639f604d8e,Сергій,Бурлаков,Юрійович,148578,"[{'size': '148578', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,42448.0
15,15,nacp_8532b78c-8a06-47d3-9139-733b1d7f75d0,Сергій,Мартиняк,Васильович,454956,"[{'size': '454956', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,5004.0
16,16,nacp_85a2245d-0607-43fd-936a-013af1ca320d,Михайло,Макарчук,Андрійович,237894,"[{'size': '237894', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,5299.0
17,17,nacp_86e70e5a-c295-4b8e-9574-530bfcc1c8f7,Василь,Копильців,Михайлович,81514,"[{'size': 56666.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 24721.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 85.0, 'sizeIncome_hidden': 0, 'type': 'interest', 'is_foreign': 0}, {'size': 41.0, 'sizeIncome_hidden': 0, 'type': 'interest', 'is_foreign': 0}, {'size': 1.0, 'sizeIncome_hidden': 0, 'type': 'interest', 'is_foreign': 0}]",0,[],0,0,"[{'assetsCurrency': 'UAH', 'size': 5182.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': False}, {'assetsCurrency': 'USD', 'size': 5000.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': False}, {'assetsCurrency': 'EUR', 'size': 3000.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': False}]",27109.0
18,18,nacp_86be8526-8516-4504-92e9-594789952b00,Олександр,Ткачук,Вікторович,230000,"[{'size': '230000', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,7729.0
19,19,nacp_0d80ac07-3827-41f1-856f-8f63a42b68a8,Ростислав,Зарубич,Іванович,466151,"[{'size': 188237.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 184.0, 'sizeIncome_hidden': 0, 'type': 'interest', 'is_foreign': 0}, {'size': 186.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 165327.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 79.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 13990.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 1980.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 47707.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 34161.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 14300.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}]",5113,"[{'area': 67.9, 'date': '26.01.2015', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'other', 'area_hidden': False}, {'area': 183.1, 'date': '22.05.2014', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'house', 'area_hidden': False}, {'area': 1035.0, 'date': '23.07.2004', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 200.0, 'date': '02.09.2007', 'cost': '3112', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 2500.0, 'date': '13.12.2012', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 128.0, 'date': '22.05.2014', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'other', 'area_hidden': False}, {'area': 1000.0, 'date': '29.03.2019', 'cost': '71500', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}]","[{'brand': 'Форд', 'cost': 0, 'date': '08.09.2012', 'year': 2008.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'car'}, {'brand': 'ГКБ', 'cost': 0, 'date': '04.12.2014', 'year': 1991.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'other'}, {'brand': 'SHINERAY', 'cost': 30000.0, 'date': '14.08.2019', 'year': 2016.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'moto'}]","[{'size': 34161.0, 'dnt_is_foreign': False, 'dnt_sizeObligation_hidden': False, 'type': 'loans_received'}, {'size': 47707.0, 'dnt_is_foreign': False, 'dnt_sizeObligation_hidden': False, 'type': 'loans_received'}]","[{'assetsCurrency': 'USD', 'size': 15000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': False}, {'assetsCurrency': 'UAH', 'size': 8421.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 10092.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 125000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': False}]",28055.0
