,Last_name ,Last_name_En ,First_name,First_name_En,Father_name,Company_name ,CompamyID_number,date ,Country_Ukr,Coutry_En,count
37,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 5""",9102068251,2015-01-04,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
38,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Krasolena Investment Ltd,HE263783,,Кіпр,Cyprus,507.0
39,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 2""",9102162102,2015-01-22,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
40,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,MIlideno Holdings Ltd.,HE310105,2012-08-02,Кіпр,Cyprus,507.0
41,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,KOLTRESO COMMERCIAL LTD,ΗΕ315417,2012-11-19,Кіпр,Cyprus,507.0
42,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АКТИВ ДЕВЕЛОПМЕНТ УКРАЇНА""",34979111,,Україна,Ukraine,
43,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 1""",9102158473,,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
44,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОДЮСЕРСЬКИЙ ЦЕНТР ""СТАР ВЕЙ""",39043675,,Україна,Ukraine,
45,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,CEE Clean Economic Energy AG,,,Австрія,Austria,49.0
46,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Helios Netherlands B.V.,57607354,2013-02-04,Нідерланди,Netherlands,42.0
47,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Black Sea Renewable Energies GmbH,FN361858w,,Австрія,Austria,49.0
48,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЗЕТА СОЛАР""",9102064730,2014-12-24,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
49,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Gunaldi Commercial Ltd,HE292598,,Кіпр,Cyprus,507.0
50,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕЛЬТА СОЛАР""",9102067787,2015-01-04,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
51,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕЛЬТА СОЛАР""",9102067787,2015-01-04,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
52,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МАШЗАВОД"" М.НОВОГРОДІВКА",14310336,,Україна,Ukraine,
53,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Activ Solar GmbH,ATU6419461,2008-02-15,Австрія,Austria,49.0
54,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Activ Solar GmbH,ATU6419461,2008-02-15,Австрія,Austria,49.0
55,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ГРОМАДЯНСЬКИЙ РУХ ""РАЗОМ""",39647780,,Україна,Ukraine,
56,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,P & A Corporate Services Trust,,,Ліхтенштейн,Liechtenstein,5.0
57,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КАПЕЛЛА СОЛАР""",9102163321,2014-12-25,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
58,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"SLAV HANDEL,VERTRETUNG UND BETEILIGUNG AKTIENGESELLSCHAFT",FN129821P,,Австрія,Austria,49.0
59,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОУЗІЛ СОЛАР""",9102163882,2017-08-31,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
60,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "" МАШИНОБУДІВНИЙ ЗАВОД ""ВІСТЕК""",31226457,,Україна,Ukraine,
61,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКТИВ-СТРАХУВАННЯ""",31446152,,Україна,Ukraine,
62,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 4""",9102160095,2015-01-16,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
63,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 3""",9102160105,2015-01-16,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
64,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ОУЛ СОЛАР""",9102067522,2015-01-03,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
65,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Kvalisto Holdings Ltd,HE301963,,Кіпр,Cyprus,507.0
66,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОСПРІЙ СОЛАР""",9102160070,2015-01-16,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
67,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Aurnia Commercial Ltd,ΗΕ291411,,Кіпр,Cyprus,507.0
68,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "" ЗАВОД ПО ОБРОБЦІ КОЛЬОРОВИХ МЕТАЛІВ""",195452,,Україна,Ukraine,
69,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЮПІТЕР СОЛАР""",9102065606,2014-12-25,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
70,Луценко,Lutsenko,Юрій,Yuri,Віталійович,Рівненська обласна рада,21085816,,Україна,Ukraine,
71,Луценко,Lutsenko,Юрій,Yuri,Віталійович,Рівненський завод «Газотрон»,14314972,,Україна,Ukraine,
72,Луценко,Lutsenko,Юрій,Yuri,Віталійович,"Газета ""Грані Плюс""",,,Україна,Ukraine,
73,Луценко,Lutsenko,Юрій,Yuri,Віталійович,Міністерство України у справах науки і технологій,,,Україна,Ukraine,
74,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТОРГОВО-ІНВЕСТИЦІЙНЕ АГЕНТСТВО ""КОНСОЛЬІНВЕСТ""",37002773,,Україна,Ukraine,
75,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КСД""",25387595,,Україна,Ukraine,
76,Мартиненко,Martynenko,Микола,Mykola,Володимирович,INLORD SALES LLP,OC351548,,Велика Британія,United Kingdom,140.0
77,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""УКРАЇНСЬКИЙ ЦЕНТР ЕКОНОМІЧНИХ І ПОЛІТИЧНИХ ДОСЛІДЖЕНЬ ІМЕНІ ОЛЕКСАНДРА РАЗУМКОВА""",20063407,,Україна,Ukraine,
78,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БРИНКФОРД""",36336608,,Україна,Ukraine,
79,Мартиненко,Martynenko,Микола,Mykola,Володимирович,KENSON TRADING LTD,"66,313",,Беліз,Belize,22.0
80,Мартиненко,Martynenko,Микола,Mykola,Володимирович,METAJET AVIATION SERVICES LTD,,,Велика Британія,United Kingdom,140.0
81,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"""STEUERMANN"" Investitions- und Handelsgesellschaft mbH",FN189399d,,Австрія,Austria,49.0
82,Мартиненко,Martynenko,Микола,Mykola,Володимирович,Bradcrest Investments SA,,,Панама,Panama,29.0
83,Мартиненко,Martynenko,Микола,Mykola,Володимирович,RANDSTONE COMMERCIAL LLP,OC329413,,Велика Британія,United Kingdom,140.0
84,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ЗАКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ІНТЕРПОРТ-КОВЕЛЬ""",20133507,,Україна,Ukraine,
85,Мартиненко,Martynenko,Микола,Mykola,Володимирович,MONTGOMERY IMPEX LTD,2133041,,Нова Зеландія,New Zealand,2.0
86,Мартиненко,Martynenko,Микола,Mykola,Володимирович,Macross Investment Ltd,"52,644",,Беліз,Belize,22.0
87,Мартиненко,Martynenko,Микола,Mykola,Володимирович,SKODA JS a.s.,25235753,,Чехія,Czech Republic,22.0
88,Мартиненко,Martynenko,Микола,Mykola,Володимирович,VISILOGIK LIMITED,,,Домініка,Dominica,2.0
89,Мартиненко,Martynenko,Микола,Mykola,Володимирович,FORTER HOLDINGS LTD,ΗΕ239001,,Кіпр,Cyprus,507.0
90,Мартиненко,Martynenko,Микола,Mykola,Володимирович,MONEA SYSTEM LLP,OC325867,,Велика Британія,United Kingdom,140.0
91,Мартиненко,Martynenko,Микола,Mykola,Володимирович,guilford estates ltd,,,Беліз,Belize,22.0
92,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЮНІСТІЛ""",35601339,,Україна,Ukraine,
93,Мартиненко,Martynenko,Микола,Mykola,Володимирович,BARTON BUSINESS LLC,,,Домініка,Dominica,2.0
94,Мартиненко,Martynenko,Микола,Mykola,Володимирович,DALLAS FUEL SA,743716-2023126,,Панама,Panama,29.0
95,Мартиненко,Martynenko,Микола,Mykola,Володимирович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕНЕРГОТЕХПРОМ""",32309445,,Україна,Ukraine,
96,Тарута,Taruta,Сергій,Serhiy,Олексійович,ІГХ Індустріал Груп Холдінг Лімітед,HE153231,,Кіпр,Cyprus,507.0
97,Тарута,Taruta,Сергій,Serhiy,Олексійович,Даргамо Холдінгс Лімітед,HE233395,,Кіпр,Cyprus,507.0
98,Тарута,Taruta,Сергій,Serhiy,Олексійович,Гданськ Шіпярд Груп Сп. з о.о.,KRS0000303194,,Польща,Poland,52.0
99,Тарута,Taruta,Сергій,Serhiy,Олексійович,Енард Інвестментс Лімітед,1561403,,Британські Віргінські острови,British Virgin Islands,174.0
100,Тарута,Taruta,Сергій,Serhiy,Олексійович,Ерроукрест Лімітед,HE183297,,Кіпр,Cyprus,507.0
101,Тарута,Taruta,Сергій,Serhiy,Олексійович,Керкаріно Холдінгз Лімітед,HE268708,,Кіпр,Cyprus,507.0
102,Тарута,Taruta,Сергій,Serhiy,Олексійович,Парборіо Холдінгз Лімітед,HE260901,,Кіпр,Cyprus,507.0
103,Тарута,Taruta,Сергій,Serhiy,Олексійович,Франкіро Холдінгз Лімітед,HE260911,,Кіпр,Cyprus,507.0
104,Тарута,Taruta,Сергій,Serhiy,Олексійович,І.С.Х.Ц. Індустріал Стіл Холдинг Ко Лімітед,HE153723,,Кіпр,Cyprus,507.0
105,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Aveiro LP,NL000142,,Велика Британія,United Kingdom,140.0
106,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Vital Investment Group Inc,P18000014595,2018-02-12,США,USA,104.0
107,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Wiley Rein LLP,6108,,США,USA,104.0
108,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Drake Limited,SC145341,1993-07-08,Велика Британія,United Kingdom,140.0
109,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,"TWO PATHS, LLC",6315697,,США,USA,104.0
110,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,"ДЕРЖАВНА УСТАНОВА ""КАЧАНІВСЬКА ВИПРАВНА КОЛОНІЯ (№54)""",8564564,,Україна,Ukraine,
111,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Smart Light Advising LP,SL033149,2018-07-04,Велика Британія,United Kingdom,140.0
112,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Amarante Trading Limited,,,Британські Віргінські острови,British Virgin Islands,174.0
113,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,TRIDENT FOUNDATION,8938183,,Велика Британія,United Kingdom,140.0
114,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,Carvella Limited,9078119,,Велика Британія,United Kingdom,140.0
115,Тимошенко,Tymoshenko,Юлія,Yulia,Володимирівна,"INNOVATIVE TECHNOLOGY BUSINESS CONSULTING, LLC",,,США,USA,104.0
116,Чекіта,Chekita,Геннадій,Gennady,Леонідович,ПАНКОМ КОНГО,47847,,Конго,Congo,1.0
117,Шверк,Schwerk,Григорій,Gregory,Аронович,ПАРАКРОФТ ЛТД,1770723,,Британські Віргінські острови,British Virgin Islands,174.0
118,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕЛЬТА СОЛАР""",9102067787,2015-01-04,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
119,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЛЬФА СОЛАР""",9102163138,2017-10-11,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
120,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "" МАШИНОБУДІВНИЙ ЗАВОД ""ВІСТЕК""",31226457,,Україна,Ukraine,
121,Клюєв,Klyuyev,Андрій,Andriy,Петрович,Helios Netherlands B.V.,57607354,2013-02-04,Нідерланди,Netherlands,42.0
122,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 2""",9102162102,2015-01-22,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
123,Клюєв,Klyuyev,Андрій,Andriy,Петрович,MIlideno Holdings Ltd.,HE310105,2012-08-02,Кіпр,Cyprus,507.0
124,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОУЗІЛ СОЛАР""",9102163882,2017-08-31,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
125,Клюєв,Klyuyev,Андрій,Andriy,Петрович,Activ Solar GmbH,ATU6419461,2008-02-15,Австрія,Austria,49.0
126,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОМАО СОЛАР""",9102160874,2015-01-20,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
127,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВДІАЛЬНІСТЮ ""ОРІОН СОЛАР""",9102065483,2017-10-24,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
128,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КАПЕЛЛА СОЛАР""",9102163321,2014-12-25,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
129,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МАШЗАВОД"" М.НОВОГРОДІВКА",14310336,,Україна,Ukraine,
130,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КЛАРІОН СОЛАР""",9102067850,2015-01-04,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
131,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 5""",9102068251,2015-01-04,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
132,Клюєв,Klyuyev,Андрій,Andriy,Петрович,KOLTRESO COMMERCIAL LTD,ΗΕ315417,2012-11-19,Кіпр,Cyprus,507.0
133,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЗЕТА СОЛАР""",9102064730,2014-12-24,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
134,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕЛЬТА СОЛАР""",9102067787,2015-01-04,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
135,Клюєв,Klyuyev,Андрій,Andriy,Петрович,Gunaldi Commercial Ltd,HE292598,,Кіпр,Cyprus,507.0
136,Клюєв,Klyuyev,Андрій,Andriy,Петрович,P & A Corporate Services Trust,,,Ліхтенштейн,Liechtenstein,5.0
137,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГАММА СОЛАР""",9102064264,2017-10-11,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
138,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 1""",9102158473,,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
139,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"SLAV HANDEL,VERTRETUNG UND BETEILIGUNG AKTIENGESELLSCHAFT",FN129821P,,Австрія,Austria,49.0
140,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БЕТА СОЛАР""",9102159036,2017-10-11,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
141,Клюєв,Klyuyev,Андрій,Andriy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АКТИВ ДЕВЕЛОПМЕНТ УКРАЇНА""",34979111,,Україна,Ukraine,
